appid,name,genre_category,tags_top10
1145360,Hades,Casual/Indie,"Action Roguelike,Rogue-lite,Hack and Slash,Indie,Mythology,Action,Rogue-like,Singleplayer,Great Soundtrack,Story Rich"
391540,Undertale,Casual/Indie,"Great Soundtrack,Story Rich,Choices Matter,Multiple Endings,Pixel Graphics,Funny,RPG,Singleplayer,Indie,2D"
261550,Mount & Blade II: Bannerlord,Casual/Indie,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization"
1326470,Sons Of The Forest,Casual/Indie,"Survival,Open World,Multiplayer,Co-op,Survival Horror,Base-Building,Horror,Crafting,First-Person,Building"
1144200,Ready or Not,Casual/Indie,"Tactical,Realistic,FPS,Shooter,Multiplayer,Co-op,Singleplayer,Horror,First-Person,Action"
526870,Satisfactory,Casual/Indie,"Base-Building,Automation,Open World,Multiplayer,Crafting,Co-op,Building,Resource Management,Sandbox,Exploration"
1468810,鬼谷八荒 Tale of Immortal,Casual/Indie,"Management,Singleplayer,Simulation,Mythology,Sandbox,Tactical RPG,RPG,Dating Sim,Choose Your Own Adventure,Action"
427520,Factorio,Casual/Indie,"Automation,Base-Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World"
524220,NieR:Automata,RPG,"Great Soundtrack,Story Rich,Female Protagonist,Hack and Slash,Action,Open World,RPG,JRPG,Anime,Post-apocalyptic"
1332010,Stray,Adventure,"Cats,Adventure,Atmospheric,Cyberpunk,Singleplayer,Cute,Exploration,Robots,Beautiful,Puzzle"
1426210,It Takes Two,Adventure,"Co-op,Multiplayer,Split Screen,Local Co-Op,Puzzle,Online Co-Op,Adventure,Story Rich,Co-op Campaign,Local Multiplayer"
870780,Control,Adventure,"Action,Supernatural,Female Protagonist,Story Rich,Adventure,Third Person,Atmospheric,Singleplayer,Sci-fi,Horror"
1057090,Ori and the Will of the Wisps,Adventure,"Beautiful,Metroidvania,Platformer,Great Soundtrack,Singleplayer,Action,Adventure,Atmospheric,Story Rich,Exploration"
294100,RimWorld,Strategy/Simulation,"Colony Sim,Base-Building,Survival,Strategy,Sandbox,Management,Building,Simulation,Moddable,Singleplayer"
