appid,discount_start,playtime_filter,positive_count_before,negative_count_before,positive_count_during,negative_count_during,before_days,during_days,response_rate_positive,response_rate_negative,positive_rate_before,positive_rate_during,positive_rate_delta,sentiment_group
255710,2025-05-08,2h,1332,105,310,27,30,7,-0.002574,0.102041,0.926931,0.919881,-0.00705,down
255710,2025-06-26,2h,1059,89,747,50,30,14,0.511534,0.203852,0.922474,0.937265,0.014791,up
255710,2025-09-29,2h,903,94,271,26,30,7,0.286189,0.18541,0.905717,0.912458,0.006741,up
255710,2025-12-18,2h,865,63,802,49,30,18,0.545279,0.296296,0.932112,0.942421,0.010309,up
255710,2026-03-05,2h,941,134,985,106,30,7,3.486109,2.390192,0.875349,0.902841,0.027493,up
255710,2026-03-19,2h,2217,280,458,34,30,7,-0.114634,-0.479592,0.887865,0.930894,0.043029,up
255710,2026-04-30,2h,1061,101,294,25,30,7,0.187559,0.06082,0.913081,0.92163,0.008549,up
105600,2026-03-19,10h,11605,405,2223,77,30,7,-0.179048,-0.185185,0.966278,0.966522,0.000244,neutral
252490,2026-03-19,10h,10471,1786,2085,336,30,7,-0.146623,-0.193729,0.854287,0.861214,0.006927,up
2358720,2026-02-09,10h,1810,150,1605,153,30,14,0.900158,1.185714,0.923469,0.912969,-0.0105,down
1245620,2026-03-19,10h,5237,356,1550,93,30,7,0.268447,0.119583,0.936349,0.943396,0.007047,up
553850,2026-03-19,10h,8837,4632,1726,607,30,7,-0.162935,-0.438379,0.656099,0.73982,0.083721,up
550,2026-03-19,10h,4387,107,1256,28,30,7,0.227002,0.121495,0.97619,0.978193,0.002003,neutral
381210,2026-03-17,10h,4741,1319,1944,563,30,9,0.3668,0.422795,0.782343,0.775429,-0.006914,down
739630,2026-01-17,10h,3999,263,1680,122,30,14,-0.099775,-0.005975,0.938292,0.932297,-0.005994,down
739630,2026-03-19,10h,3531,276,882,55,30,9,-0.167375,-0.335749,0.927502,0.941302,0.0138,up
413150,2026-03-19,10h,1959,19,2400,19,30,7,4.250492,3.285714,0.990394,0.992146,0.001751,neutral
1091500,2026-02-12,10h,6750,349,2181,93,30,10,-0.030667,-0.200573,0.950838,0.959103,0.008265,up
1091500,2026-03-19,10h,6137,268,1729,80,30,7,0.20743,0.279318,0.958158,0.955777,-0.002381,neutral
1086940,2026-02-26,10h,6070,263,687,37,30,4,-0.151153,0.055133,0.958471,0.948895,-0.009576,down
1086940,2026-03-19,10h,5242,225,1203,50,30,7,-0.01646,-0.047619,0.958844,0.960096,0.001252,neutral
218620,2025-06-05,10h,742,68,248,15,30,7,0.432422,-0.054622,0.916049,0.942966,0.026916,up
218620,2025-06-27,10h,1052,67,436,32,30,13,-0.04358,0.102181,0.940125,0.931624,-0.008501,down
218620,2025-07-13,10h,1090,65,463,38,30,14,-0.089777,0.252747,0.943723,0.924152,-0.019571,down
218620,2025-09-25,10h,571,264,455,1189,30,11,1.173221,11.283058,0.683832,0.276764,-0.407068,down
218620,2025-11-21,10h,692,103,437,27,30,14,0.35322,-0.43828,0.87044,0.94181,0.07137,up
218620,2025-12-18,10h,739,64,1086,90,30,18,1.449256,1.34375,0.920299,0.923469,0.003171,neutral
218620,2026-01-15,10h,1642,125,569,39,30,14,-0.257439,-0.331429,0.929259,0.935855,0.006597,up
